timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z25_y0_x0,z25_y0_x5,z25_y0_x10,z25_y0_x15,z25_y0_x20,z25_y0_x25,z25_y0_x30,z25_y0_x35,z25_y0_x40,z25_y0_x45,z25_y0_x50,z25_y0_x55,z25_y0_x60,z25_y0_x65,z25_y0_x70,z25_y0_x75,z25_y0_x80,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z35_y0_x0,z35_y0_x5,z35_y0_x10,z35_y0_x15,z35_y0_x20,z35_y0_x25,z35_y0_x30,z35_y0_x35,z35_y0_x40,z35_y0_x45,z35_y0_x50,z35_y0_x55,z35_y0_x60,z35_y0_x65,z35_y0_x70,z35_y0_x75,z35_y0_x80,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z45_y0_x0,z45_y0_x5,z45_y0_x10,z45_y0_x15,z45_y0_x20,z45_y0_x25,z45_y0_x30,z45_y0_x35,z45_y0_x40,z45_y0_x45,z45_y0_x50,z45_y0_x55,z45_y0_x60,z45_y0_x65,z45_y0_x70,z45_y0_x75,z45_y0_x80,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z55_y0_x0,z55_y0_x5,z55_y0_x10,z55_y0_x15,z55_y0_x20,z55_y0_x25,z55_y0_x30,z55_y0_x35,z55_y0_x40,z55_y0_x45,z55_y0_x50,z55_y0_x55,z55_y0_x60,z55_y0_x65,z55_y0_x70,z55_y0_x75,z55_y0_x80,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80
1655938800,-23.252,-21.946,-21.946,-21.256,-21.912,-21.912,-29.299,-29.299,-52.623,-154.519,-154.519,-301.793,-355.758,-355.758,-415.983,-415.983,-497.711,-22.553,-21.491,-21.491,-21.010,-21.845,-21.845,-29.338,-29.338,-53.068,-159.168,-159.168,-310.672,-353.508,-353.508,-395.426,-395.426,-447.517,-21.929,-21.106,-21.106,-20.834,-21.850,-21.850,-29.446,-29.446,-53.449,-163.477,-163.477,-318.905,-349.469,-349.469,-374.370,-374.370,-402.999,-21.362,-20.931,-20.931,-21.005,-22.335,-22.335,-30.255,-30.255,-55.133,-173.283,-173.283,-334.526,-339.355,-339.355,-334.988,-334.988,-330.425,-21.797,-21.492,-21.492,-21.669,-23.119,-23.119,-31.352,-31.352,-57.381,-181.132,-181.132,-340.285,-330.589,-330.589,-313.137,-313.137,-296.608,-24.524,-24.044,-24.044,-24.060,-25.500,-25.500,-34.330,-34.330,-62.310,-183.871,-183.871,-304.309,-281.754,-281.754,-256.050,-256.050,-233.094,-28.950,-28.090,-28.090,-27.731,-29.044,-29.044,-38.757,-38.757,-69.880,-188.174,-188.174,-271.734,-240.924,-240.924,-211.422,-211.422,-186.629,-46.661,-43.493,-43.493,-40.790,-40.977,-40.977,-53.822,-53.822,-93.351,-194.108,-194.108,-219.518,-181.304,-181.304,-150.803,-150.803,-127.940,-64.071,-57.473,-57.473,-51.518,-49.940,-49.940,-64.593,-64.593,-106.213,-193.408,-193.408,-199.866,-161.678,-161.678,-132.912,-132.912,-112.298
1655942400,-23.035,-21.947,-21.947,-21.356,-22.205,-22.205,-29.296,-29.296,-52.078,-152.543,-152.543,-301.541,-355.845,-355.845,-416.038,-416.038,-497.685,-22.452,-21.559,-21.559,-21.147,-22.145,-22.145,-29.335,-29.335,-52.507,-157.077,-157.077,-310.400,-353.601,-353.601,-395.517,-395.517,-447.565,-21.904,-21.215,-21.215,-20.996,-22.156,-22.156,-29.449,-29.449,-52.898,-161.294,-161.294,-318.628,-349.561,-349.561,-374.462,-374.462,-403.057,-21.521,-21.156,-21.156,-21.253,-22.694,-22.694,-30.304,-30.304,-54.629,-171.004,-171.004,-334.237,-339.424,-339.424,-335.054,-335.054,-330.472,-22.164,-21.880,-21.880,-22.050,-23.587,-23.587,-31.499,-31.499,-56.927,-178.833,-178.833,-339.896,-330.512,-330.512,-313.035,-313.035,-296.471,-24.578,-24.163,-24.163,-24.216,-25.776,-25.776,-34.334,-34.334,-61.810,-182.043,-182.043,-304.095,-281.761,-281.761,-256.033,-256.033,-233.057,-28.766,-28.013,-28.013,-27.727,-29.189,-29.189,-38.684,-38.684,-69.351,-186.793,-186.793,-271.585,-240.925,-240.925,-211.399,-211.399,-186.602,-46.033,-43.064,-43.064,-40.512,-40.900,-40.900,-53.577,-53.577,-92.825,-193.483,-193.483,-219.437,-181.309,-181.309,-150.815,-150.815,-128.012,-62.998,-56.681,-56.681,-50.946,-49.620,-49.620,-64.168,-64.168,-105.715,-193.012,-193.012,-199.894,-161.801,-161.801,-133.060,-133.060,-112.515
1655946000,-22.867,-21.958,-21.958,-21.465,-22.470,-22.470,-29.305,-29.305,-51.533,-150.496,-150.496,-301.206,-355.871,-355.871,-416.037,-416.037,-497.610,-22.365,-21.615,-21.615,-21.279,-22.415,-22.415,-29.342,-29.342,-51.947,-154.919,-154.919,-310.048,-353.634,-353.634,-395.551,-395.551,-447.560,-21.891,-21.313,-21.313,-21.154,-22.434,-22.434,-29.464,-29.464,-52.347,-159.050,-159.050,-318.275,-349.596,-349.596,-374.499,-374.499,-403.062,-21.682,-21.372,-21.372,-21.496,-23.027,-23.027,-30.368,-30.368,-54.132,-168.683,-168.683,-333.884,-339.444,-339.444,-335.073,-335.073,-330.472,-22.445,-22.187,-22.187,-22.367,-23.983,-23.983,-31.631,-31.631,-56.478,-176.506,-176.506,-339.452,-330.393,-330.393,-312.892,-312.892,-296.292,-24.664,-24.303,-24.303,-24.390,-26.047,-26.047,-34.356,-34.356,-61.309,-180.174,-180.174,-303.835,-281.730,-281.730,-255.977,-255.977,-232.980,-28.626,-27.965,-27.965,-27.747,-29.335,-29.335,-38.619,-38.619,-68.810,-185.367,-185.367,-271.399,-240.893,-240.893,-211.343,-211.343,-186.542,-45.409,-42.633,-42.633,-40.234,-40.814,-40.814,-53.324,-53.324,-92.273,-192.826,-192.826,-219.332,-181.290,-181.290,-150.805,-150.805,-128.064,-61.937,-55.905,-55.905,-50.397,-49.319,-49.319,-63.747,-63.747,-105.194,-192.591,-192.591,-199.900,-161.901,-161.901,-133.187,-133.187,-112.709
1655949600,-22.735,-21.974,-21.974,-21.576,-22.711,-22.711,-29.322,-29.322,-50.995,-148.398,-148.398,-300.801,-355.847,-355.847,-415.990,-415.990,-497.495,-22.292,-21.664,-21.664,-21.408,-22.658,-22.658,-29.358,-29.358,-51.396,-152.710,-152.710,-309.627,-353.618,-353.618,-395.540,-395.540,-447.513,-21.887,-21.404,-21.404,-21.307,-22.687,-22.687,-29.487,-29.487,-51.806,-156.761,-156.761,-317.857,-349.585,-349.585,-374.492,-374.492,-403.025,-21.835,-21.572,-21.572,-21.728,-23.335,-23.335,-30.443,-30.443,-53.648,-166.334,-166.334,-333.476,-339.427,-339.427,-335.054,-335.054,-330.433,-22.671,-22.442,-22.442,-22.643,-24.329,-24.329,-31.753,-31.753,-56.039,-174.163,-174.163,-338.961,-330.242,-330.242,-312.717,-312.717,-296.080,-24.762,-24.446,-24.446,-24.568,-26.306,-26.306,-34.392,-34.392,-60.815,-178.273,-178.273,-303.536,-281.668,-281.668,-255.890,-255.890,-232.873,-28.522,-27.939,-27.939,-27.786,-29.482,-29.482,-38.564,-38.564,-68.265,-183.906,-183.906,-271.181,-240.833,-240.833,-211.259,-211.259,-186.455,-44.797,-42.208,-42.208,-39.961,-40.724,-40.724,-53.069,-53.069,-91.701,-192.141,-192.141,-219.206,-181.253,-181.253,-150.779,-150.779,-128.099,-60.891,-55.148,-55.148,-49.871,-49.035,-49.035,-63.330,-63.330,-104.653,-192.147,-192.147,-199.889,-161.984,-161.984,-133.296,-133.296,-112.885
1655953200,-22.637,-21.999,-21.999,-21.693,-22.937,-22.937,-29.356,-29.356,-50.492,-146.307,-146.307,-300.377,-355.822,-355.822,-415.944,-415.944,-497.380,-22.241,-21.716,-21.716,-21.538,-22.887,-22.887,-29.390,-29.390,-50.879,-150.511,-150.511,-309.187,-353.601,-353.601,-395.528,-395.528,-447.467,-21.898,-21.495,-21.495,-21.461,-22.926,-22.926,-29.527,-29.527,-51.299,-154.485,-154.485,-317.420,-349.574,-349.574,-374.484,-374.484,-402.989,-21.983,-21.762,-21.762,-21.952,-23.623,-23.623,-30.531,-30.531,-53.197,-164.004,-164.004,-333.051,-339.409,-339.409,-335.034,-335.034,-330.394,-22.865,-22.666,-22.666,-22.892,-24.641,-24.641,-31.874,-31.874,-55.627,-171.843,-171.843,-338.456,-330.090,-330.090,-312.541,-312.541,-295.868,-24.866,-24.591,-24.591,-24.749,-26.556,-26.556,-34.444,-34.444,-60.348,-176.375,-176.375,-303.228,-281.606,-281.606,-255.803,-255.803,-232.766,-28.453,-27.938,-27.938,-27.845,-29.634,-29.634,-38.527,-38.527,-67.738,-182.437,-182.437,-270.959,-240.773,-240.773,-211.175,-211.175,-186.369,-44.213,-41.802,-41.802,-39.704,-40.640,-40.640,-52.821,-52.821,-91.129,-191.448,-191.448,-219.080,-181.217,-181.217,-150.754,-150.754,-128.136,-59.878,-54.420,-54.420,-49.376,-48.774,-48.774,-62.928,-62.928,-104.110,-191.698,-191.698,-199.876,-162.066,-162.066,-133.402,-133.402,-113.057
1655956800,-22.564,-22.030,-22.030,-21.812,-23.150,-23.150,-29.403,-29.403,-50.022,-144.229,-144.229,-299.933,-355.798,-355.798,-415.898,-415.898,-497.266,-22.208,-21.771,-21.771,-21.670,-23.102,-23.102,-29.434,-29.434,-50.395,-148.326,-148.326,-308.728,-353.585,-353.585,-395.516,-395.516,-447.420,-21.921,-21.587,-21.587,-21.614,-23.152,-23.152,-29.580,-29.580,-50.825,-152.225,-152.225,-316.964,-349.562,-349.562,-374.477,-374.477,-402.952,-22.124,-21.940,-21.940,-22.166,-23.894,-23.894,-30.630,-30.630,-52.779,-161.698,-161.698,-332.609,-339.390,-339.390,-335.014,-335.014,-330.355,-23.037,-22.867,-22.867,-23.123,-24.927,-24.927,-31.995,-31.995,-55.240,-169.550,-169.550,-337.937,-329.939,-329.939,-312.367,-312.367,-295.658,-24.972,-24.734,-24.734,-24.928,-26.796,-26.796,-34.508,-34.508,-59.906,-174.484,-174.484,-302.911,-281.543,-281.543,-255.715,-255.715,-232.659,-28.410,-27.955,-27.955,-27.919,-29.789,-29.789,-38.504,-38.504,-67.229,-180.963,-180.963,-270.731,-240.713,-240.713,-211.092,-211.092,-186.283,-43.659,-41.417,-41.417,-39.466,-40.562,-40.562,-52.582,-52.582,-90.557,-190.747,-190.747,-218.954,-181.183,-181.183,-150.731,-150.731,-128.175,-58.898,-53.721,-53.721,-48.910,-48.533,-48.533,-62.541,-62.541,-103.565,-191.243,-191.243,-199.862,-162.145,-162.145,-133.507,-133.507,-113.225
1655960400,-22.534,-22.087,-22.087,-21.952,-23.373,-23.373,-29.491,-29.491,-49.653,-142.322,-142.322,-299.612,-355.907,-355.907,-415.976,-415.976,-497.261,-22.212,-21.848,-21.848,-21.820,-23.327,-23.327,-29.522,-29.522,-50.013,-146.311,-146.311,-308.389,-353.700,-353.700,-395.629,-395.629,-447.489,-21.973,-21.697,-21.697,-21.784,-23.387,-23.387,-29.674,-29.674,-50.448,-150.130,-150.130,-316.618,-349.675,-349.675,-374.591,-374.591,-403.031,-22.276,-22.124,-22.124,-22.388,-24.167,-24.167,-30.762,-30.762,-52.448,-159.539,-159.539,-332.254,-339.474,-339.474,-335.096,-335.096,-330.417,-23.210,-23.067,-23.067,-23.355,-25.211,-25.211,-32.140,-32.140,-54.932,-167.394,-167.394,-337.497,-329.881,-329.881,-312.286,-312.286,-295.541,-25.095,-24.888,-24.888,-25.119,-27.045,-27.045,-34.606,-34.606,-59.543,-172.694,-172.694,-302.669,-281.564,-281.564,-255.712,-255.712,-232.635,-28.409,-28.005,-28.005,-28.023,-29.963,-29.963,-38.519,-38.519,-66.793,-179.563,-179.563,-270.573,-240.727,-240.727,-211.082,-211.082,-186.270,-43.166,-41.080,-41.080,-39.271,-40.512,-40.512,-52.378,-52.378,-90.038,-190.094,-190.094,-218.881,-181.202,-181.202,-150.762,-150.762,-128.266,-57.989,-53.083,-53.083,-48.499,-48.332,-48.332,-62.196,-62.196,-103.062,-190.827,-190.827,-199.890,-162.267,-162.267,-133.652,-133.652,-113.431
1655964000,-22.597,-22.221,-22.221,-22.163,-23.666,-23.666,-29.705,-29.705,-49.562,-141.008,-141.008,-299.799,-356.508,-356.508,-416.509,-416.509,-497.661,-22.302,-21.999,-21.999,-22.040,-23.623,-23.623,-29.733,-29.733,-49.909,-144.885,-144.885,-308.544,-354.299,-354.299,-396.201,-396.201,-447.984,-22.100,-21.873,-21.873,-22.018,-23.689,-23.689,-29.887,-29.887,-50.339,-148.596,-148.596,-316.732,-350.245,-350.245,-375.146,-375.146,-403.533,-22.480,-22.357,-22.357,-22.660,-24.495,-24.495,-30.995,-30.995,-52.353,-157.854,-157.854,-332.269,-339.938,-339.938,-335.556,-335.556,-330.854,-23.428,-23.310,-23.310,-23.633,-25.544,-25.544,-32.377,-32.377,-54.845,-165.662,-165.662,-337.383,-330.161,-330.161,-312.546,-312.546,-295.768,-25.276,-25.098,-25.098,-25.367,-27.353,-27.353,-34.799,-34.799,-59.397,-171.258,-171.258,-302.723,-281.892,-281.892,-256.018,-256.018,-232.922,-28.500,-28.140,-28.140,-28.209,-30.208,-30.208,-38.635,-38.635,-66.574,-178.455,-178.455,-270.680,-241.012,-241.012,-211.344,-211.344,-186.527,-42.809,-40.863,-40.863,-39.182,-40.547,-40.547,-52.282,-52.282,-89.715,-189.638,-189.638,-219.003,-181.417,-181.417,-150.986,-150.986,-128.543,-57.246,-52.587,-52.587,-48.212,-48.228,-48.228,-61.968,-61.968,-102.722,-190.572,-190.572,-200.079,-162.545,-162.545,-133.948,-133.948,-113.780
1655967600,-22.752,-22.435,-22.435,-22.449,-24.037,-24.037,-30.046,-30.046,-49.752,-140.313,-140.313,-300.509,-357.612,-357.612,-417.508,-417.508,-498.474,-22.479,-22.227,-22.227,-22.333,-23.995,-23.995,-30.072,-30.072,-50.086,-144.075,-144.075,-309.209,-355.395,-355.395,-397.241,-397.241,-448.913,-22.306,-22.120,-22.120,-22.321,-24.064,-24.064,-30.223,-30.223,-50.500,-147.650,-147.650,-317.323,-351.284,-351.284,-376.153,-376.153,-404.469,-22.742,-22.645,-22.645,-22.988,-24.885,-24.885,-31.333,-31.333,-52.495,-156.668,-156.668,-332.667,-340.788,-340.788,-336.402,-336.402,-331.676,-23.700,-23.604,-23.604,-23.966,-25.943,-25.943,-32.711,-32.711,-54.978,-164.379,-164.379,-337.607,-330.789,-330.789,-313.156,-313.156,-296.346,-25.520,-25.368,-25.368,-25.696,-27.724,-27.724,-35.091,-35.091,-59.470,-170.196,-170.196,-303.084,-282.534,-282.534,-256.642,-256.642,-233.525,-28.678,-28.356,-28.356,-28.470,-30.521,-30.521,-38.855,-38.855,-66.574,-177.654,-177.654,-271.059,-241.574,-241.574,-211.884,-211.884,-187.058,-42.587,-40.762,-40.762,-39.188,-40.663,-40.663,-52.296,-52.296,-89.592,-189.387,-189.387,-219.327,-181.833,-181.833,-151.407,-151.407,-129.009,-56.666,-52.229,-52.229,-48.034,-48.217,-48.217,-61.858,-61.858,-102.548,-190.484,-190.484,-200.431,-162.985,-162.985,-134.400,-134.400,-114.276
1655971200,-23.041,-22.771,-22.771,-22.853,-24.537,-24.537,-30.579,-30.579,-50.355,-140.545,-140.545,-302.018,-359.469,-359.469,-419.202,-419.202,-499.903,-22.784,-22.573,-22.573,-22.741,-24.495,-24.495,-30.602,-30.602,-50.675,-144.186,-144.186,-310.653,-357.231,-357.231,-398.982,-398.982,-450.493,-22.628,-22.476,-22.476,-22.733,-24.561,-24.561,-30.741,-30.741,-51.056,-147.579,-147.579,-318.638,-353.022,-353.022,-377.835,-377.835,-406.052,-23.100,-23.024,-23.024,-23.410,-25.381,-25.381,-31.830,-31.830,-52.983,-156.219,-156.219,-333.648,-342.220,-342.220,-337.825,-337.825,-333.071,-24.066,-23.990,-23.990,-24.391,-26.440,-26.440,-33.192,-33.192,-55.437,-163.755,-163.755,-338.344,-331.935,-331.935,-314.290,-314.290,-297.449,-25.898,-25.768,-25.768,-26.124,-28.194,-28.194,-35.529,-35.529,-59.863,-169.692,-169.692,-303.908,-283.646,-283.646,-257.740,-257.740,-234.603,-28.975,-28.684,-28.684,-28.843,-30.938,-30.938,-39.224,-39.224,-66.896,-177.318,-177.318,-271.848,-242.552,-242.552,-212.841,-212.841,-188.002,-42.525,-40.805,-40.805,-39.333,-40.899,-40.899,-52.473,-52.473,-89.771,-189.448,-189.448,-219.951,-182.548,-182.548,-152.122,-152.122,-129.758,-56.280,-52.040,-52.040,-48.011,-48.334,-48.334,-61.918,-61.918,-102.628,-190.647,-190.647,-201.030,-163.665,-163.665,-135.086,-135.086,-114.992
